Index,Filename,Description,Category
0,pid_iso_fittings_000_reducer_concentric.svg,Reducer - Concentric,Reducer
1,pid_iso_fittings_001_reducer_eccentric.svg,Reducer - Eccentric,Reducer
2,pid_iso_fittings_002_orifice_plate_open.svg,Orifice Plate - Open,Orifice Plate
3,pid_iso_fittings_003_orifice_plate_blind.svg,Orifice Plate - Blind,Orifice Plate
4,pid_iso_fittings_004_t_joint_horizontal.svg,T-Joint - Horizontal,T-Joint
5,pid_iso_fittings_005_flexible_connection.svg,Flexible Connection,Flexible
6,pid_iso_fittings_006_4_way_cross.svg,4-Way Cross,4-Way
7,pid_iso_fittings_007_expansion_joint.svg,Expansion Joint,Expansion
8,pid_iso_fittings_008_strainer.svg,Strainer,Strainer
9,pid_iso_fittings_009_ball_valve.svg,Ball Valve,Ball
10,pid_iso_fittings_010_filter.svg,Filter,Filter
11,pid_iso_fittings_011_vent_cap.svg,Vent Cap,Vent
12,pid_iso_fittings_012_y_strainer.svg,Y-Strainer,Y-Strainer
13,pid_iso_fittings_013_elbow_90_degree.svg,Elbow - 90 Degree,Elbow
14,pid_iso_fittings_014_union.svg,Union,Union
15,pid_iso_fittings_015_y_joint.svg,Y-Joint,Y-Joint
16,pid_iso_fittings_016_cross_connection_complex.svg,Cross Connection - Complex,Cross Connection
17,pid_iso_fittings_017_multi_port_connection.svg,Multi-Port Connection,Multi-Port
18,pid_iso_fittings_018_tee_with_valve.svg,Tee with Valve,Tee
19,pid_iso_fittings_019_complex_cross.svg,Complex Cross,Complex
20,pid_iso_fittings_020_flange_connection.svg,Flange Connection,Flange
21,pid_iso_fittings_021_tee_with_cap_upper.svg,Tee with Cap - Upper,Tee with Cap
22,pid_iso_fittings_022_tee_with_cap_lower.svg,Tee with Cap - Lower,Tee with Cap
