Index,Filename,Description,Category
0,pid_iso_instruments_000_indicator_circle_with_horizontal_lines.svg,Indicator - Circle with Horizontal Lines,Indicator
1,pid_iso_instruments_001_controller_square_circle_with_lines.svg,Controller - Square Circle with Lines,Controller
2,pid_iso_instruments_002_transmitter_hexagon_with_lines.svg,Transmitter - Hexagon with Lines,Transmitter
3,pid_iso_instruments_003_instrument_basic_circle.svg,Instrument - Basic Circle,Instrument
4,pid_iso_instruments_004_controller_square_circle_basic.svg,Controller - Square Circle Basic,Controller
5,pid_iso_instruments_005_transmitter_hexagon_basic.svg,Transmitter - Hexagon Basic,Transmitter
6,pid_iso_instruments_006_indicator_circle_with_single_line.svg,Indicator - Circle with Single Line,Indicator
7,pid_iso_instruments_007_controller_square_circle_with_line.svg,Controller - Square Circle with Line,Controller
8,pid_iso_instruments_008_transmitter_hexagon_with_line.svg,Transmitter - Hexagon with Line,Transmitter
9,pid_iso_instruments_009_control_valve_linear.svg,Control Valve - Linear,Control Valve
10,pid_iso_instruments_010_control_valve_linear_with_positioner.svg,Control Valve - Linear with Positioner,Control Valve
11,pid_iso_instruments_011_control_valve_linear_with_actuator.svg,Control Valve - Linear with Actuator,Control Valve
12,pid_iso_instruments_012_control_valve_angle.svg,Control Valve - Angle,Control Valve
13,pid_iso_instruments_013_control_valve_globe.svg,Control Valve - Globe,Control Valve
14,pid_iso_instruments_014_pressure_indicator.svg,Pressure Indicator,Pressure
15,pid_iso_instruments_015_pressure_indicator_with_switch.svg,Pressure Indicator with Switch,Pressure
