Index,Filename,Description,Category
0,pid_iso_valves_000_gate_valve.svg,Gate Valve,Gate Valve
1,pid_iso_valves_001_globe_valve.svg,Globe Valve,Globe Valve
2,pid_iso_valves_002_ball_valve.svg,Ball Valve,Ball Valve
3,pid_iso_valves_003_butterfly_valve.svg,Butterfly Valve,Butterfly Valve
4,pid_iso_valves_004_check_valve.svg,Check Valve,Check Valve
5,pid_iso_valves_005_check_valve_spring_loaded.svg,Check Valve - Spring Loaded,Check Valve
6,pid_iso_valves_006_plug_valve.svg,Plug Valve,Plug Valve
7,pid_iso_valves_007_diaphragm_valve.svg,Diaphragm Valve,Diaphragm Valve
8,pid_iso_valves_008_needle_valve.svg,Needle Valve,Needle Valve
9,pid_iso_valves_009_angle_valve.svg,Angle Valve,Angle Valve
10,pid_iso_valves_010_three_way_valve.svg,Three-Way Valve,Multi-Way Valve
11,pid_iso_valves_011_four_way_valve.svg,Four-Way Valve,Multi-Way Valve
12,pid_iso_valves_012_relief_valve.svg,Relief Valve,Safety/Relief Valve
13,pid_iso_valves_013_safety_valve.svg,Safety Valve,Safety/Relief Valve
14,pid_iso_valves_014_pressure_reducing_valve.svg,Pressure Reducing Valve,Pressure Valve
15,pid_iso_valves_015_control_valve.svg,Control Valve,Control Valve
16,pid_iso_valves_016_control_valve_pneumatic.svg,Control Valve - Pneumatic,Control Valve
17,pid_iso_valves_017_control_valve_electric.svg,Control Valve - Electric,Control Valve
18,pid_iso_valves_018_control_valve_hydraulic.svg,Control Valve - Hydraulic,Control Valve
19,pid_iso_valves_019_solenoid_valve.svg,Solenoid Valve,Solenoid Valve
20,pid_iso_valves_020_float_valve.svg,Float Valve,Float Valve
21,pid_iso_valves_021_knife_gate_valve.svg,Knife Gate Valve,Knife Valve
22,pid_iso_valves_022_pinch_valve.svg,Pinch Valve,Pinch Valve
23,pid_iso_valves_023_rotary_valve.svg,Rotary Valve,Rotary Valve
