Index,Filename,Description,Category
0,pid_pip_valves_000_gate_valve_general.svg,Gate Valve - General,Gate
1,pid_pip_valves_001_gate_valve_wedge.svg,Gate Valve - Wedge,Gate
2,pid_pip_valves_002_gate_valve_double_disc.svg,Gate Valve - Double Disc,Gate
3,pid_pip_valves_003_gate_valve_knife.svg,Gate Valve - Knife,Gate
4,pid_pip_valves_004_globe_valve_general.svg,Globe Valve - General,Globe
5,pid_pip_valves_005_globe_valve_angle.svg,Globe Valve - Angle,Globe
6,pid_pip_valves_006_globe_valve_y_type.svg,Globe Valve - Y-Type,Globe
7,pid_pip_valves_007_globe_valve_three_way.svg,Globe Valve - Three Way,Globe
8,pid_pip_valves_008_ball_valve_general.svg,Ball Valve - General,Ball
9,pid_pip_valves_009_ball_valve_three_way.svg,Ball Valve - Three Way,Ball
10,pid_pip_valves_010_ball_valve_four_way.svg,Ball Valve - Four Way,Ball
11,pid_pip_valves_011_ball_valve_trunnion.svg,Ball Valve - Trunnion,Ball
12,pid_pip_valves_012_butterfly_valve_general.svg,Butterfly Valve - General,Butterfly
13,pid_pip_valves_013_butterfly_valve_wafer.svg,Butterfly Valve - Wafer,Butterfly
14,pid_pip_valves_014_butterfly_valve_lug.svg,Butterfly Valve - Lug,Butterfly
15,pid_pip_valves_015_butterfly_valve_high_performance.svg,Butterfly Valve - High Performance,Butterfly
16,pid_pip_valves_016_plug_valve_general.svg,Plug Valve - General,Plug
17,pid_pip_valves_017_plug_valve_three_way.svg,Plug Valve - Three Way,Plug
18,pid_pip_valves_018_plug_valve_four_way.svg,Plug Valve - Four Way,Plug
19,pid_pip_valves_019_diaphragm_valve_weir.svg,Diaphragm Valve - Weir,Diaphragm
20,pid_pip_valves_020_diaphragm_valve_straight.svg,Diaphragm Valve - Straight,Diaphragm
21,pid_pip_valves_021_pinch_valve.svg,Pinch Valve,Specialty Valves
22,pid_pip_valves_022_needle_valve.svg,Needle Valve,Specialty Valves
23,pid_pip_valves_023_check_valve_general.svg,Check Valve - General,Check
24,pid_pip_valves_024_check_valve_swing.svg,Check Valve - Swing,Check
25,pid_pip_valves_025_check_valve_lift.svg,Check Valve - Lift,Check
26,pid_pip_valves_026_check_valve_ball.svg,Check Valve - Ball,Check
27,pid_pip_valves_027_check_valve_wafer.svg,Check Valve - Wafer,Check
28,pid_pip_valves_028_check_valve_stop.svg,Check Valve - Stop,Check
29,pid_pip_valves_029_safety_valve_spring_loaded.svg,Safety Valve - Spring Loaded,Safety
30,pid_pip_valves_030_safety_valve_pilot_operated.svg,Safety Valve - Pilot Operated,Safety
31,pid_pip_valves_031_relief_valve_pressure.svg,Relief Valve - Pressure,Relief
32,pid_pip_valves_032_relief_valve_vacuum.svg,Relief Valve - Vacuum,Relief
33,pid_pip_valves_033_relief_valve_pressurevacuum.svg,Relief Valve - Pressure/Vacuum,Relief
34,pid_pip_valves_034_control_valve_general.svg,Control Valve - General,Control
35,pid_pip_valves_035_control_valve_globe_type.svg,Control Valve - Globe Type,Control
36,pid_pip_valves_036_control_valve_angle_type.svg,Control Valve - Angle Type,Control
37,pid_pip_valves_037_control_valve_butterfly_type.svg,Control Valve - Butterfly Type,Control
38,pid_pip_valves_038_control_valve_ball_type.svg,Control Valve - Ball Type,Control
39,pid_pip_valves_039_control_valve_three_way.svg,Control Valve - Three Way,Control
40,pid_pip_valves_040_pressure_reducing_valve.svg,Pressure Reducing Valve,Specialty Valves
41,pid_pip_valves_041_back_pressure_valve.svg,Back Pressure Valve,Specialty Valves
42,pid_pip_valves_042_float_valve.svg,Float Valve,Specialty Valves
43,pid_pip_valves_043_foot_valve.svg,Foot Valve,Specialty Valves
44,pid_pip_valves_044_angle_valve.svg,Angle Valve,Specialty Valves
